type,entry,is_correction,created,network,net_settlement_currency,net_settlement_impact,settlement_service_code,settlement_service_name,settlement_service_id,type_specific,transaction_reference,transaction_type,gross_settlement_amount
firstChargeback-dms,1,FALSE,16.07.2024 11:02,visa,EUR,debit,1,International Settlement Service,ISS-EUR,"{ ""preDispute"": ""none""}",088a7cdf-e007-401d-8a88-6f7f748d466e,purchase,151.55
firstChargeback-dms,1,FALSE,16.07.2024 11:02,visa,EUR,debit,1,International Settlement Service,ISS-EUR,"{ ""preDispute"": ""none""}",d6c8c33c-0ceb-4ea2-8625-4bec96a80915,purchase,100
firstChargeback-dms,1,FALSE,17.07.2024 12:03,visa,EUR,debit,1,International Settlement Service,ISS-EUR,"{ ""preDispute"": ""none""}",51b242df-b137-471e-a0aa-3abc2eec8d27,purchase,20
firstChargeback-dms,1,FALSE,17.07.2024 12:03,visa,EUR,debit,1,International Settlement Service,ISS-EUR,"{ ""preDispute"": ""none""}",9c40770e-4382-431b-946f-973f1bad420f,purchase,20
firstChargeback-dms,1,FALSE,17.07.2024 12:03,visa,EUR,debit,1,International Settlement Service,ISS-EUR,"{ ""preDispute"": ""none""}",7a79e164-0a7f-4b4c-9dcd-cab850308004,purchase,20
firstChargeback-dms,1,FALSE,18.07.2024 10:49,visa,EUR,debit,1,International Settlement Service,ISS-EUR,"{ ""preDispute"": ""none""}",e58f3dbf-8cd6-434d-be24-a79c90c842b3,purchase,100
firstChargeback-dms,1,FALSE,18.07.2024 10:49,visa,EUR,debit,1,International Settlement Service,ISS-EUR,"{ ""preDispute"": ""none""}",22dbefe5-df67-43c9-b3a4-16e39c0cfe0f,purchase,100
firstChargeback-dms,1,FALSE,18.07.2024 10:49,visa,EUR,debit,1,International Settlement Service,ISS-EUR,"{ ""preDispute"": ""none""}",d9a9fcf1-569e-425e-9758-bb80a63109c2,purchase,100
firstChargeback-dms,1,FALSE,18.07.2024 10:49,visa,EUR,debit,1,International Settlement Service,ISS-EUR,"{ ""preDispute"": ""none""}",f206e6af-c0f6-4413-b4b6-634dd74aa77d,purchase,100
firstChargeback-dms,1,FALSE,19.07.2024 13:34,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""none""}",f6395358-1f2e-4ea6-8542-c1e54f1e864c,purchase,100.5
firstChargeback-dms,1,FALSE,2024-07-19 13:34:10.066,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""none""}",3f2e3048-4b03-4903-b00c-00ae462e7670,purchase,101.77
firstChargeback-dms,1,FALSE,19.07.2024 13:34,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""none""}",003113f5-299a-4758-a6fa-2c0dbf7b6645,purchase,75.06
firstChargeback-dms,1,FALSE,19.07.2024 13:34,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""none""}",0d58ffae-eaf7-42e7-982a-5af92f429023,purchase,100.5
firstChargeback-dms,1,FALSE,19.07.2024 13:34,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""none""}",fd33c73b-552d-4266-9679-ba590b8400ea,purchase,109.49
firstChargeback-dms,1,FALSE,2024-07-19 10:32:16.079,visa,EUR,debit,1,International Settlement Service,ISS-EUR,"{ ""preDispute"": ""none""}",18ac4c80-eec4-42f7-853d-19a4b0660852,purchase,100
firstChargeback-dms,1,FALSE,2024-07-20 09:35:50.015,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""collaborationRefund""}",269d1b29-8a7f-49e8-85d4-2775a8917be1,purchase,20
firstChargeback-dms,1,FALSE,23.07.2024 10:45,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",c97f6838-aa7e-4414-8aab-77ecb5e55853,purchase,109.58
firstChargeback-dms,1,FALSE,23.07.2024 10:45,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",96c6349f-345a-4915-9fca-6324f50b0a39,purchase,87.69
firstChargeback-dms,1,FALSE,23.07.2024 10:45,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",2b52a12d-752e-4036-8f1a-6ce8b5fb1b55,purchase,86.59
firstChargeback-dms,1,FALSE,23.07.2024 10:45,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",431e8363-53fa-48e4-a45f-b39f17e4536a,purchase,87.7
secondPresentment-dms,1,FALSE,23.07.2024 03:28,mastercard,EUR,credit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""none""}",e4110324-8dd1-4103-a9cb-56d1f5d86494,purchase,990
firstChargeback-dms,1,FALSE,2024-07-23 03:28:50.020,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""collaborationRefund""}",095633ed-402b-4640-9778-ddbc91e0e491,purchase,30
firstChargeback-dms,1,FALSE,23.07.2024 03:28,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""collaborationRefund""}",c114b5e2-7bb1-4fd1-9b53-e29322379fe2,purchase,30
firstChargeback-dms,1,FALSE,22.07.2024 16:59,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""collaborationRefund""}",6a734593-3280-4872-b204-7f63d44ca29f,purchase,25.01
secondPresentment-dms,1,FALSE,22.07.2024 15:10,mastercard,EUR,credit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""none""}",3f2e3048-4b03-4903-b00c-00ae462e7670,purchase,101.77
secondPresentment-dms,1,FALSE,22.07.2024 15:10,mastercard,EUR,credit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""none""}",003113f5-299a-4758-a6fa-2c0dbf7b6645,purchase,75.06
secondPresentment-dms,1,FALSE,22.07.2024 15:10,mastercard,EUR,credit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""none""}",0d58ffae-eaf7-42e7-982a-5af92f429023,purchase,100.5
secondPresentment-dms,1,FALSE,22.07.2024 15:10,mastercard,EUR,credit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""none""}",fd33c73b-552d-4266-9679-ba590b8400ea,purchase,109.49
secondPresentment-dms,1,FALSE,2024-07-22 15:10:20.007,mastercard,EUR,credit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""none""}",f6395358-1f2e-4ea6-8542-c1e54f1e864c,purchase,100.5
firstChargeback-dms,1,FALSE,24.07.2024 11:06,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",abb45ae5-dec1-4724-9da4-d5b876f49cf6,purchase,25.93
firstChargeback-dms,1,FALSE,24.07.2024 11:06,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",42e37f6f-c724-47f7-bef3-8a93a390b3b7,purchase,19.24
firstChargeback-dms,1,FALSE,24.07.2024 11:06,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",e7f5f628-1d19-4ff1-981a-5d5373822c8a,purchase,25.93
firstChargeback-dms,1,FALSE,2024-07-24 11:06:33.023,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",91d63fa0-ac8b-4b31-9390-86f152bfdfba,purchase,25.93
firstChargeback-dms,1,FALSE,24.07.2024 11:06,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",27136efc-ab9b-4502-8b54-837694931c9a,purchase,29.47
firstChargeback-dms,1,FALSE,24.07.2024 11:06,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",4420c231-3887-44a3-8bfb-2e4c0e4ce9a6,purchase,26.95
firstChargeback-dms,1,FALSE,24.07.2024 11:06,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",3dd10fff-e0fe-44aa-b158-481bc6948f3c,purchase,29.47
firstChargeback-dms,1,FALSE,2024-07-25 10:49:25.088,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",53646d1f-27f7-45a4-a22c-50c03e040eaa,purchase,879.49
firstChargeback-dms,1,FALSE,25.07.2024 10:49,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",9f273080-a13b-455b-a35f-d7150ecca8f4,purchase,879.49
firstChargeback-dms,1,FALSE,25.07.2024 10:49,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",cfe6b21f-1511-441b-8cdb-29324b66619b,purchase,703.59
firstChargeback-dms,1,FALSE,25.07.2024 10:49,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",d55a9610-b02b-4218-9a0e-099528d5fa24,purchase,351.79
firstChargeback-dms,1,FALSE,25.07.2024 10:49,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",925cdab5-f2f3-4974-8e4c-24f13744974b,purchase,292.87
firstChargeback-dms,1,FALSE,25.07.2024 10:49,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",4eeabdc7-f7c2-4c20-ae75-1f5bcdd05266,purchase,263.85
firstChargeback-dms,1,FALSE,25.07.2024 10:49,visa,EUR,debit,1,International Settlement Service,ISS-EUR,"{ ""preDispute"": ""none""}",34206b55-c550-4ec0-87ab-07f29597a0e1,purchase,15.06
firstChargeback-dms,1,FALSE,26.07.2024 03:06,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""collaborationRefund""}",bc76ecf8-8664-47b6-bdba-f0ec0639fc10,purchase,23.16
firstChargeback-dms,1,FALSE,26.07.2024 03:06,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""collaborationRefund""}",32873fb2-e0fc-4642-acf9-304904e28c0c,purchase,23.16
firstChargeback-dms,1,FALSE,26.07.2024 03:06,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""collaborationRefund""}",ee682f8b-7342-4654-af59-9f121401dc20,purchase,15
firstChargeback-dms,1,FALSE,25.07.2024 14:08,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""collaborationRefund""}",7298d87b-999d-4e87-adea-9fafaf55a83d,purchase,126.85
firstChargeback-dms,1,FALSE,25.07.2024 14:08,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""collaborationRefund""}",b83c1254-0202-4d9e-9204-a536a3336ddf,purchase,20
firstChargeback-dms,1,FALSE,29.07.2024 10:21,visa,EUR,debit,1,International Settlement Service,ISS-EUR,"{ ""preDispute"": ""none""}",05f45eb9-98a8-4357-9bbf-17f4f59922fe,purchase,19.99
secondPresentment-dms,1,FALSE,31.07.2024 11:03,visa,GBP,credit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",96c6349f-345a-4915-9fca-6324f50b0a39,purchase,87.69
secondPresentment-dms,1,FALSE,31.07.2024 11:03,visa,GBP,credit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",c97f6838-aa7e-4414-8aab-77ecb5e55853,purchase,109.58
secondPresentment-dms,1,FALSE,31.07.2024 11:03,visa,GBP,credit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",2b52a12d-752e-4036-8f1a-6ce8b5fb1b55,purchase,86.59
secondPresentment-dms,1,FALSE,31.07.2024 11:03,visa,GBP,credit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",431e8363-53fa-48e4-a45f-b39f17e4536a,purchase,87.7
firstChargeback-dms,1,FALSE,31.07.2024 11:03,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",b98a22ec-cbc0-440f-b327-e5aabcc1f33e,purchase,84.65
firstChargeback-dms,1,FALSE,31.07.2024 11:03,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",10172f1a-4fd0-45cc-869b-2db15b743b83,purchase,86.7
firstChargeback-dms,1,FALSE,31.07.2024 11:03,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",73f64e1f-eae8-482d-9ac2-3a44103649a1,purchase,97.56
firstChargeback-dms,1,FALSE,31.07.2024 11:03,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",7dde8813-ac6b-4e5c-ba2a-eec45fd6f233,purchase,86.71
firstChargeback-dms,1,FALSE,31.07.2024 11:03,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",7a0a8fcc-8839-49d2-b081-af4758d0b10b,purchase,106.36
